osm_id,ktCO2,ktC,mean_cars
1056616525,0.01,0.21,553.93
1056642858,0.01,0.14,491.16
1056642859,0.01,0.18,490.52
1056708081,0.01,0.34,455.07
1056832158,0,0.1,549.52
1056832599,0,0.04,484.15
1056837048,0,0.06,486.44
1056857594,0,0.09,534.76
1056858943,0.01,0.13,615.36
1056860204,0,0.06,588.15
1056888346,0,0.09,457.85
1056888347,0,0.06,484.63
1056953878,0,0.1,444.46
1057064729,0.01,0.12,490.23
1057131743,0,0.03,486.26
1057138146,0,0.04,511.65
1057138764,0,0.07,571.32
1057178318,0,0.04,455.01
1057179327,0,0.06,460.51
1057179328,0,0.04,482.95
1057180460,0,0.06,465.47
1057180461,0,0.04,464.84
1057180954,0,0.09,470.44
1057180955,0,0.06,471.11
1057183596,0,0.08,472.65
1057183597,0,0.05,540.32
1057185106,0,0.07,546.6
1057185107,0,0.08,546.62
1057185692,0.01,0.13,498.48
10571878,0,0.04,489.85
1057190072,0.01,0.12,488.31
1057190073,0.01,0.2,551.55
1057190074,0,0.07,489.54
1057192155,0,0.06,487.25
1057192156,0,0.04,487.06
1057192157,0,0.04,487.15
1057192158,0,0.06,489.64
1057192512,0,0.04,502.75
1057209130,0,0.07,464.39
1057528473,0,0.06,503.16
1057528474,0,0.05,531.52
1057532584,0,0.02,498.81
1057538104,0,0.05,490.36
1057538105,0,0.03,485.02
1057538106,0,0,208.75
1057541513,0,0.03,208.75
1057544125,0,0.05,295.81
1057545068,0,0.1,489.13
1057545069,0.01,0.15,490.79
1057557985,0,0.03,489.72
1057562141,0,0.06,488.92
10575630,0.01,0.13,461.27
1057632488,0.01,0.28,482.88
1057633429,0,0.05,486.47
1057856828,0,0.09,544.85
1057993181,0,0.07,552.27
1058151978,0.01,0.34,464.62
1058153679,0.02,0.38,490.83
1058154242,0.01,0.2,496.53
1058216273,0.02,0.45,558.46
1058512738,0.01,0.22,549.25
1058531703,0.02,0.35,545.19
1058531708,0.01,0.33,454.43
1058674818,0.01,0.14,491.77
1058747117,0,0.01,524.81
1059168977,0,0.07,493.37
1059186080,0.01,0.32,482.35
10596628,0,0.04,456.79
10597569,0,0.1,541.78
1059804940,0,0.05,500.83
1059804941,0,0.03,541.58
1059851414,0,0.06,549.99
10598760,0.01,0.27,482.45
1060224390,0,0,436.66
1060224391,0,0.01,436.62
1060224392,0.01,0.13,437.74
1060230087,0,0.06,323.7
1060659770,0,0.01,567.94
106142553,0,0.01,456.56
1061554420,0,0.01,634.51
1061554421,0,0.03,628.75
1061554422,0,0.02,626.6
1061554635,0,0.02,626.46
1061554636,0,0.02,607.46
1061707859,0,0.04,453.83
1061707860,0,0.04,457.15
1061707867,0,0.02,453.6
1061707868,0.01,0.18,487.33
1061707878,0.01,0.13,489.23
1061707898,0,0.03,458.63
1061707899,0.01,0.18,450.14
1061889499,0.01,0.13,489.26
1061889500,0,0.1,468.44
1061889508,0,0.02,469.65
1061889510,0,0.02,470.49
1061889515,0.01,0.15,469.4
1061896722,0,0.03,484.97
1062070609,0,0.05,494.67
1062070610,0.01,0.16,494.29
1062322560,0,0.07,550.66
1062352123,0,0.01,481.65
1062462912,0.01,0.27,478.26
1062463866,0.01,0.14,328.92
1062463867,0,0.02,514.62
1062464968,0,0.03,466.66
1062464969,0,0.02,435.18
1062485349,0,0.08,488.08
1062556376,0,0.04,491.4
1062556377,0,0.03,495.78
1062571999,0,0.01,467.43
1062572000,0,0.01,467.28
1062572001,0,0.02,464.78
1062572002,0,0.02,513.52
